global_idx,file_idx,config_idx,dphase_x_deg,dphase_y_deg,rmse_db,mae_db,max_abs_err_db,pearson_r,peak_dir_err_deg
2,1,2,4.872079,52.094513,0.2135189175605774,0.1344248205423355,3.7505645751953125,0.9998286720837031,0.2755363881587982
3,1,3,179.131355,-37.988015,0.3844849467277527,0.2550940215587616,12.379074096679688,0.9992053054248495,2.1648266315460205
4,1,4,-72.558717,82.36765,0.2419040948152542,0.15524223446846008,7.341815948486328,0.999657014595785,1.142095685005188
5,1,5,-135.248611,-33.193099,0.25058627128601074,0.16837091743946075,8.605888366699219,0.9996291692914209,1.221252202987671
21,1,21,-98.804042,-11.398092,0.25751593708992004,0.15052936971187592,8.292667388916016,0.9996283113579477,1.0598021745681763
31,1,31,60.043115,-146.318955,0.2172672003507614,0.15174540877342224,3.8730430603027344,0.9997314687376099,0.0
36,1,36,-61.521139,81.642018,0.23049025237560272,0.1532701849937439,4.204498291015625,0.9997025306543553,1.000146508216858
48,1,48,-15.977503,12.167586,0.20457769930362701,0.1336977630853653,7.41375732421875,0.999859067574508,0.9398279190063477
49,1,49,-56.390817,-74.219811,0.21390703320503235,0.14230459928512573,3.2982330322265625,0.9997730728340463,2.000075578689575
56,2,6,-113.440246,27.663023,0.20684894919395447,0.1420053392648697,6.442478179931641,0.9997552976605556,1.1776931285858154
58,2,8,24.15775,53.382993,0.22029875218868256,0.13114674389362335,7.654582977294922,0.9998035020072172,0.3083765506744385
75,2,25,95.200439,-83.96664,0.2583850920200348,0.17209039628505707,9.072124481201172,0.9995992401009565,0.0
79,2,29,36.559104,-177.827839,0.2829256057739258,0.20671825110912323,11.79367446899414,0.9995694605754741,0.8190053701400757
84,2,34,-71.502807,105.309488,0.2047174870967865,0.14178524911403656,4.782417297363281,0.9997184081492435,2.096578359603882
90,2,40,92.365213,146.245749,0.25658172369003296,0.16753017902374268,9.443218231201172,0.9995199359582176,1.289374589920044
98,2,48,12.882077,-179.822695,0.2527647018432617,0.18286791443824768,2.762622833251953,0.9996156350633286,2.1612071990966797
124,3,24,-15.168996,107.043359,0.2559267282485962,0.1586499661207199,10.63260269165039,0.9996650999213378,0.5297107696533203
168,4,18,-106.498225,1.574883,0.21151751279830933,0.1409633755683899,6.071956634521484,0.9997197561992195,1.5109018087387085
181,4,31,-115.244801,1.578494,0.20946766436100006,0.13817481696605682,4.120311737060547,0.9997065552700384,1.999977707862854
185,4,35,-50.741666,179.086403,0.2030734419822693,0.15214577317237854,2.468555450439453,0.9997394523762638,1.999977707862854
214,5,14,95.57235,1.528732,0.2569279372692108,0.1517031341791153,13.874671936035156,0.999629315855388,0.5000684857368469
223,5,23,68.592819,-176.53214,0.2940846085548401,0.22954653203487396,4.741512298583984,0.9996517553523685,1.3199723958969116
233,5,33,-1.685256,-48.51912,0.2671426236629486,0.1564638614654541,8.20047378540039,0.9997422899375292,1.0349537134170532
245,5,45,-143.510023,-10.135969,0.19372202455997467,0.14093829691410065,4.210731506347656,0.999763501895971,0.0
257,6,7,-75.709259,-160.134014,0.21682974696159363,0.1596437692642212,5.5248870849609375,0.9997212665675073,0.0
295,6,45,82.395064,-137.406664,0.20897522568702698,0.14790233969688416,6.114501953125,0.9997155691056817,1.263155460357666
298,6,48,106.568196,158.584649,0.31050753593444824,0.2079191356897354,9.14715576171875,0.9992392936998717,0.0
315,7,15,124.347181,-59.793112,0.22584381699562073,0.151004821062088,7.778491973876953,0.9996778465331244,1.4143003225326538
347,7,47,66.453757,-37.498909,0.2532649338245392,0.1571997106075287,11.727210998535156,0.9997385352025467,0.7491267919540405
356,8,6,-101.564323,132.355766,0.20146918296813965,0.1403791755437851,11.180858612060547,0.9996894753581997,2.9999613761901855
378,8,28,67.879246,132.858637,0.19029773771762848,0.1349794864654541,2.2629966735839844,0.9997649198347783,1.000146508216858
379,8,29,141.928665,-82.32271,0.20813170075416565,0.15491195023059845,2.3136367797851562,0.9997365160593933,0.0
381,8,31,-131.02321,-104.001945,0.20078237354755402,0.15225212275981903,1.6887168884277344,0.9997011060963471,0.8089084625244141
389,8,39,-175.722062,-42.312212,0.2936704754829407,0.1920984387397766,9.092803955078125,0.9995294062226927,0.9999507665634155
390,8,40,91.083514,33.952058,0.27852949500083923,0.16899827122688293,16.301197052001953,0.9996170844286948,1.499852180480957
